onset_sparse,onset_dense,offset_dense,onset_trial_like,offset_trial_like
,60.28,60.33004,,
,65.58,65.618377,,
,65.7,65.743722,,
,65.82,65.89175,,
,65.94,65.996003,,
,66.06,66.100241,,
,66.18,66.262373,,
,66.3,66.358534,,
,66.42,66.474425,,
,66.54,66.596265,,
,66.66,66.71972,,
,71.96,71.996332,,
,72.08,72.127017,,
,72.2,72.269067,,
,72.32,72.376349,,
,72.44,72.489155,,
,72.56,72.630171,,
,72.68,72.752507,,
,72.8,72.838097,,
,72.92,72.984325,,
,78.22,78.275259,,
,78.34,78.389701,,
,78.46,78.522274,,
,78.58,78.643937,,
,78.7,78.763747,,
,78.82,78.883269,,
,78.94,78.986645,,
,79.06,79.123303,,
,79.18,79.256639,,
,84.48,84.541485,,
,84.6,84.670865,,
,84.72,84.763805,,
,84.84,84.898771,,
,84.96,85.018508,,
,85.08,85.132538,,
,85.2,85.273651,,
,85.32,85.400342,,
,90.62,90.668405,,
,90.74,90.787445,,
,90.86,90.908124,,
,90.98,91.03523,,
,91.1,91.149611,,
,91.22,91.269099,,
,91.34,91.395193,,
,96.64,96.699784,,
,96.76,96.826567,,
,96.88,96.926725,,
,97.0,97.058994,,
,97.12,97.19086,,
,97.24,97.313748,,
,97.36,97.427829,,
,102.66,102.722405,,
,102.78,102.824826,,
,102.9,102.956732,,
,103.02,103.080701,,
,103.14,103.195376,,
,103.26,103.326658,,
,108.56,108.615368,,
,108.68,108.752971,,
,108.8,108.853704,,
,108.92,108.972016,,
,109.04,109.097507,,
,109.16,109.223415,,
,114.46,114.515987,,
,114.58,114.63528,,
,114.7,114.761791,,
,114.82,114.884712,,
,114.94,115.020793,,
,115.06,115.123391,,
,120.36,120.42623,,
,120.48,120.548731,,
,120.6,120.658326,,
,120.72,120.774379,,
,120.84,120.899141,,
,126.14,126.21244,,
,126.26,126.335796,,
,126.38,126.4477,,
,126.5,126.56257,,
,126.62,126.692108,,
