onset_clean,offset_clean,onset_ibi_boundary,offset_ibi_boundary,onset_longlick_boundary,offset_longlick_boundary
37.47,37.542356,16.24,16.30026,99.14,99.206991
37.59,37.629067,16.36,16.431424,99.27,99.329439
37.71,37.744244,16.48,16.522059,99.39,99.436325
37.84,37.897463,16.6,16.672057,99.51,99.557297
37.96,38.034686,16.72,16.780437,103.01,103.067328
38.08,38.147435,16.84,16.901973,103.14,103.222094
38.21,38.268164,16.96,17.001448,103.26,103.316649
38.33,38.391803,17.08,17.1356,103.38,103.425387
38.45,38.522348,17.2,17.265496,103.51,103.562375
38.58,38.632091,17.32,17.38769,103.63,103.692168
43.78,43.849721,17.44,17.486563,103.75,103.835352
43.9,43.961731,17.56,17.633177,103.88,103.942059
44.02,44.089767,17.68,17.728659,104.0,104.049244
44.15,44.20675,17.8,17.859767,104.12,104.164891
44.27,44.327536,17.92,17.975035,104.25,104.300238
44.39,44.449521,18.04,18.095516,104.37,104.442053
44.52,44.567834,18.16,18.230501,,
44.64,44.70674,18.28,18.335711,,
44.76,44.812451,18.4,18.459117,,
44.89,44.938093,18.95,19.007106,,
45.01,45.061463,19.07,19.120794,,
45.13,45.175729,19.19,19.253758,,
50.33,50.387187,19.31,19.370042,,
50.46,50.509736,19.43,19.493487,,
50.58,50.618855,19.55,19.618072,,
50.7,50.749078,19.67,19.714595,,
50.83,50.89004,19.79,19.860734,,
50.95,51.004156,19.91,20.000275,,
51.07,51.14485,20.03,20.096704,,
51.2,51.267978,20.15,20.208273,,
51.32,51.379926,20.27,20.324882,,
51.44,51.499435,20.39,20.445351,,
56.64,56.692629,20.51,20.577851,,
56.77,56.834654,20.63,20.691904,,
56.89,56.944042,20.75,20.810816,,
57.01,57.058623,20.87,20.933606,,
57.14,57.197954,20.99,21.042332,,
57.26,57.318963,21.11,21.170915,,
57.38,57.449135,21.99,22.049381,,
57.51,57.573325,22.11,22.150564,,
57.63,57.679526,22.23,22.27465,,
62.83,62.883355,22.35,22.407642,,
62.95,63.018177,22.47,22.538476,,
63.08,63.140565,22.59,22.644848,,
63.2,63.266754,22.71,22.767472,,
63.32,63.394438,22.83,22.880568,,
63.45,63.505325,22.95,22.999107,,
63.57,63.630217,23.07,23.137672,,
63.69,63.752135,23.19,23.269161,,
68.89,68.952583,23.31,23.362129,,
69.02,69.071801,23.43,23.476554,,
69.14,69.201052,23.55,23.600935,,
69.26,69.318619,23.67,23.743551,,
69.39,69.466114,23.79,23.836742,,
69.51,69.568976,23.91,23.983005,,
69.63,69.697479,24.31,24.369677,,
69.76,69.83288,24.43,24.491115,,
74.96,75.047064,24.55,24.616897,,
75.08,75.131067,24.67,24.724095,,
75.2,75.258256,24.79,24.848256,,
75.33,75.381659,24.91,24.978305,,
75.45,75.506789,25.03,25.091828,,
75.57,75.629598,25.15,25.216331,,
75.7,75.769195,25.27,25.321348,,
80.9,80.96208,25.39,25.462349,,
81.02,81.083909,25.51,25.584182,,
81.14,81.203734,25.63,25.674217,,
81.27,81.331682,25.75,25.82181,,
81.39,81.452149,25.87,25.914763,,
81.51,81.581115,25.99,26.053825,,
86.71,86.769233,26.11,26.159115,,
86.84,86.880244,26.23,26.306494,,
86.96,87.000699,26.35,26.392471,,
87.08,87.128581,26.47,26.511231,,
87.21,87.257594,26.59,26.663079,,
87.33,87.373949,26.71,26.76991,,
92.53,92.583357,27.81,27.887632,,
92.65,92.714118,27.93,28.013862,,
92.78,92.859384,28.05,28.108453,,
92.9,92.964719,28.17,28.227325,,
93.02,93.057883,28.29,28.357246,,
93.15,93.21494,28.41,28.463366,,
98.35,98.399441,28.53,28.613637,,
98.47,98.545852,28.65,28.7001,,
98.59,98.63763,28.77,28.827035,,
98.72,98.769128,28.89,28.945381,,
98.84,98.897356,29.01,29.077288,,
104.04,104.097359,29.13,29.169871,,
104.16,104.230867,29.25,29.312856,,
104.29,104.361453,30.33,30.393311,,
104.41,104.459062,30.45,30.514591,,
104.53,104.581933,30.57,30.628193,,
109.73,109.798386,30.69,30.744383,,
109.86,109.90114,30.81,30.872291,,
109.98,110.02802,30.93,31.005773,,
110.1,110.141668,31.05,31.121646,,
110.23,110.29812,31.17,31.237487,,
115.43,115.512608,31.29,31.345249,,
115.55,115.609827,31.41,31.471714,,
115.67,115.735838,31.53,31.587648,,
115.8,115.870585,31.65,31.712848,,
121.0,121.0796,31.77,31.81689,,
121.12,121.17416,31.89,31.949904,,
121.24,121.315794,32.01,32.074731,,
121.37,121.434651,32.13,32.204554,,
,,32.25,32.324818,,
,,32.37,32.425569,,
,,32.49,32.552514,,
,,32.61,32.680873,,
,,32.73,32.784164,,
,,32.85,32.910115,,
,,32.97,33.042351,,
,,33.09,33.161252,,
,,33.21,33.266023,,
,,33.91,33.956845,,
,,34.03,34.093225,,
,,34.15,34.203366,,
,,34.27,34.335182,,
,,34.39,34.430816,,
,,34.51,34.569042,,
,,34.63,34.683083,,
,,34.75,34.825588,,
,,34.87,34.946544,,
,,34.99,35.05709,,
,,35.11,35.179728,,
,,35.23,35.289268,,
,,35.35,35.40031,,
,,35.47,35.543687,,
,,35.59,35.636661,,
,,35.71,35.76405,,
,,35.83,35.886889,,
,,35.95,36.026957,,
,,37.04,37.069408,,
,,37.16,37.225173,,
,,37.28,37.326262,,
,,37.4,37.441805,,
,,37.52,37.58476,,
,,37.64,37.714298,,
,,37.76,37.818244,,
,,37.88,37.945673,,
,,38.0,38.062187,,
,,38.12,38.182234,,
,,38.24,38.299463,,
,,38.36,38.408079,,
,,38.48,38.544979,,
,,38.6,38.655755,,
,,38.72,38.772052,,
,,38.84,38.901176,,
,,38.96,39.030923,,
,,39.08,39.143338,,
,,39.2,39.249944,,
,,39.32,39.373855,,
,,39.64,39.691474,,
,,39.76,39.835853,,
,,39.88,39.924773,,
,,40.0,40.067464,,
,,40.12,40.18025,,
,,40.24,40.310305,,
,,40.36,40.415635,,
,,40.48,40.521904,,
,,40.6,40.670554,,
,,40.72,40.782757,,
,,40.84,40.888793,,
,,40.96,41.003006,,
,,41.08,41.149291,,
,,41.2,41.253951,,
,,41.32,41.379909,,
,,41.44,41.498806,,
,,42.56,42.628812,,
,,42.68,42.739314,,
,,42.8,42.863226,,
,,42.92,42.982148,,
,,43.04,43.111883,,
,,43.16,43.215437,,
,,43.28,43.3283,,
,,43.4,43.463835,,
,,43.52,43.5723,,
,,43.64,43.681765,,
,,43.76,43.820815,,
,,43.88,43.931864,,
,,44.0,44.068109,,
,,44.12,44.197143,,
,,44.24,44.293018,,
,,44.36,44.424642,,
,,44.48,44.561037,,
,,44.6,44.664712,,
,,44.72,44.780274,,
,,44.84,44.906076,,
,,44.96,45.006916,,
,,45.08,45.149413,,
,,45.2,45.273844,,
,,45.32,45.375671,,
,,46.24,46.302769,,
,,46.36,46.412847,,
,,46.48,46.522685,,
,,46.6,46.659191,,
,,46.72,46.781238,,
,,46.84,46.904185,,
,,46.96,47.020822,,
,,47.08,47.131453,,
,,47.2,47.245562,,
,,47.32,47.375303,,
,,47.44,47.502853,,
,,47.56,47.627495,,
,,47.68,47.723992,,
,,47.8,47.852548,,
,,48.28,48.337262,,
,,48.4,48.449091,,
,,48.52,48.581243,,
,,48.64,48.694977,,
,,48.76,48.826251,,
,,48.88,48.936347,,
,,49.0,49.074593,,
,,49.12,49.185783,,
,,49.24,49.309419,,
,,49.36,49.426334,,
,,49.48,49.550404,,
,,49.6,49.65717,,
,,49.72,49.791436,,
,,49.84,49.906617,,
,,49.96,50.009906,,
,,50.08,50.131479,,
,,50.2,50.254526,,
,,50.32,50.366769,,
,,50.44,50.511496,,
,,51.55,51.605312,,
,,51.67,51.721112,,
,,51.79,51.830718,,
,,51.91,51.978705,,
,,52.03,52.106573,,
,,52.15,52.205888,,
,,52.27,52.32751,,
,,52.39,52.438707,,
,,52.51,52.583491,,
,,52.63,52.706681,,
,,52.75,52.81642,,
,,52.87,52.927467,,
,,52.99,53.035192,,
,,53.11,53.150449,,
,,53.23,53.306849,,
,,53.35,53.413781,,
,,53.47,53.550739,,
,,53.59,53.650948,,
,,53.71,53.756539,,
,,53.83,53.881013,,
,,53.95,54.010268,,
,,54.07,54.13263,,
,,55.08,55.153468,,
,,55.2,55.269805,,
,,55.32,55.379658,,
,,55.44,55.516672,,
,,55.56,55.626487,,
,,55.68,55.731668,,
,,55.8,55.870017,,
,,55.92,55.977159,,
,,56.04,56.099468,,
,,56.16,56.200977,,
,,56.28,56.339266,,
,,56.4,56.453337,,
,,56.52,56.567447,,
,,56.64,56.711959,,
,,56.76,56.825699,,
,,56.88,56.92165,,
,,57.0,57.07323,,
,,57.12,57.19057,,
,,57.24,57.277757,,
,,57.36,57.431645,,
,,57.48,57.554049,,
,,57.6,57.666468,,
,,57.72,57.797187,,
,,57.84,57.900758,,
,,57.96,58.028787,,
,,58.08,58.141941,,
,,58.55,58.609908,,
,,58.67,58.726293,,
,,58.79,58.852877,,
,,58.91,58.97223,,
,,59.03,59.081147,,
,,59.15,59.238594,,
,,59.27,59.329095,,
,,59.39,59.435756,,
,,59.51,59.577912,,
,,59.63,59.692111,,
,,59.75,59.826349,,
,,59.87,59.932924,,
,,59.99,60.05274,,
,,60.11,60.155755,,
,,60.23,60.296632,,
,,63.56,63.624175,,
,,63.68,63.738032,,
,,63.8,63.864271,,
,,63.92,63.976267,,
,,64.04,64.114024,,
,,64.16,64.221111,,
,,64.28,64.334799,,
,,64.4,64.455687,,
,,64.52,64.565552,,
,,64.64,64.705032,,
,,64.76,64.817646,,
,,64.88,64.948387,,
,,65.0,65.06081,,
,,65.12,65.177711,,
,,65.24,65.297788,,
,,65.36,65.430579,,
,,65.48,65.543309,,
,,65.6,65.660627,,
,,65.72,65.788569,,
,,65.84,65.908016,,
,,65.96,66.030705,,
,,66.08,66.132233,,
,,66.2,66.267518,,
,,66.94,66.993545,,
,,67.06,67.111976,,
,,67.18,67.23974,,
,,67.3,67.3484,,
,,67.42,67.482541,,
,,67.54,67.59554,,
,,67.66,67.719239,,
,,67.78,67.823372,,
,,67.9,67.969498,,
,,68.02,68.083831,,
,,68.14,68.173139,,
,,68.26,68.332416,,
,,68.38,68.435231,,
,,68.5,68.556292,,
,,68.62,68.679078,,
,,68.74,68.804449,,
,,68.86,68.911826,,
,,68.98,69.025532,,
,,69.1,69.175485,,
,,69.22,69.289189,,
,,70.38,70.455474,,
,,70.5,70.559038,,
,,70.62,70.678264,,
,,70.74,70.80489,,
,,70.86,70.917668,,
,,70.98,71.045143,,
,,71.1,71.166301,,
,,71.22,71.275854,,
,,71.34,71.414209,,
,,71.46,71.523835,,
,,71.58,71.634242,,
,,71.7,71.755396,,
,,71.82,71.866496,,
,,71.94,72.001057,,
,,72.06,72.137856,,
,,72.18,72.240186,,
,,72.3,72.378219,,
,,72.42,72.494535,,
,,72.82,72.871152,,
,,72.94,72.997192,,
,,73.06,73.123958,,
,,73.18,73.223335,,
,,73.3,73.36943,,
,,73.42,73.491481,,
,,73.54,73.595077,,
,,73.66,73.719919,,
,,73.78,73.84348,,
,,73.9,73.95626,,
,,74.02,74.095848,,
,,74.14,74.198162,,
,,74.26,74.335801,,
,,74.38,74.443844,,
,,74.5,74.566726,,
,,74.62,74.665148,,
,,74.74,74.801367,,
,,74.86,74.91022,,
,,74.98,75.044922,,
,,75.1,75.156038,,
,,75.22,75.281458,,
,,79.23,79.280375,,
,,79.35,79.401593,,
,,79.47,79.53948,,
,,79.59,79.65628,,
,,79.71,79.780485,,
,,79.83,79.882851,,
,,79.95,80.020694,,
,,80.07,80.128803,,
,,80.19,80.247354,,
,,80.31,80.376135,,
,,80.43,80.48018,,
,,80.55,80.611702,,
,,80.67,80.741348,,
,,80.79,80.867629,,
,,80.91,80.977257,,
,,81.03,81.09402,,
,,81.15,81.215008,,
,,82.02,82.08702,,
,,82.14,82.20593,,
,,82.26,82.322434,,
,,82.38,82.440712,,
,,82.5,82.565539,,
,,82.62,82.671944,,
,,82.74,82.795975,,
,,82.86,82.936842,,
,,82.98,83.045481,,
,,83.1,83.147474,,
,,83.22,83.276186,,
,,83.34,83.400345,,
,,83.46,83.514286,,
,,83.58,83.643093,,
,,83.7,83.761743,,
,,83.82,83.888296,,
,,83.94,83.99413,,
,,84.06,84.122799,,
,,84.18,84.233354,,
,,84.3,84.348758,,
,,84.42,84.473683,,
,,84.54,84.607824,,
,,84.66,84.726469,,
,,84.78,84.85063,,
,,85.33,85.399654,,
,,85.45,85.505974,,
,,85.57,85.618635,,
,,85.69,85.749525,,
,,85.81,85.897782,,
,,85.93,85.992072,,
,,86.05,86.10044,,
,,86.17,86.228712,,
,,86.29,86.340351,,
,,86.41,86.460705,,
,,86.53,86.590995,,
,,86.65,86.703459,,
,,86.77,86.820387,,
,,86.89,86.943571,,
,,87.01,87.071416,,
,,87.13,87.199638,,
,,87.25,87.325281,,
,,87.37,87.416879,,
,,87.49,87.548184,,
